Distance_(pixels),Gray_Value
454,32.8750
455,33.8750
456,34.6250
457,36.6250
458,37.1250
459,37.8750
460,36.5000
461,36.0000
462,34.1250
463,33.6250
464,33.0000
465,33.2500
466,33.5000
467,33.6250
468,32.3750
469,32.3750
470,32.8750
471,32.8750
472,32.5000
473,31.8750
474,32.1250
475,33.3750
476,35.3750
477,37.6250
478,41.1250
479,42.3750
480,41.0000
481,37.8750
482,35.6250
483,34.2500
484,33.7500
485,33.2500
486,34.0000
487,34.5000
488,34.3750
489,33.8750
490,33.6250
491,34.0000
492,33.5000
493,32.0000
494,30.2500
495,27.6250
496,25.8750
497,25.1250
498,26.5000
499,28.1250
500,30.8750
501,33.0000
502,34.5000
503,36.1250
504,37.2500
505,37.8750
506,37.8750
507,37.2500
508,36.8750
509,36.0000
510,34.5000
511,34.6250
512,33.8750
513,34.1250
514,34.3750
515,34.1250
516,34.8750
517,35.1250
518,35.3750
519,34.7500
520,34.5000
521,33.7500
522,34.1250
523,33.8750
524,34.7500
525,34.2500
526,34.0000
527,34.2500
528,34.5000
529,34.2500
530,34.7500
531,36.3750
532,38.1250
533,37.8750
534,36.5000
535,36.1250
536,35.8750
537,36.5000
538,35.3750
539,36.1250
540,36.0000
541,37.3750
542,36.5000
543,35.3750
544,32.5000
545,31.2500
546,29.8750
547,30.3750
548,32.3750
549,35.8750
550,39.8750
551,42.1250
552,42.3750
553,40.0000
554,38.7500
555,36.8750
556,36.1250
557,35.2500
558,35.1250
559,34.5000
560,34.1250
561,33.1250
562,33.1250
563,33.1250
564,34.2500
565,33.8750
566,33.7500
567,33.2500
568,33.5000
569,34.0000
570,34.5000
571,34.7500
572,35.7500
573,35.8750
574,36.2500
575,36.1250
576,36.2500
577,35.8750
578,36.2500
579,35.7500
580,35.8750
581,35.3750
582,34.5000
583,33.0000
584,32.5000
585,31.6250
586,31.7500
587,32.2500
588,33.5000
589,33.7500
590,33.0000
591,31.8750
592,31.6250
593,31.7500
594,32.2500
595,33.0000
596,34.6250
597,35.3750
598,35.2500
599,35.2500
600,35.3750
601,37.0000
602,37.6250
603,38.0000
604,38.3750
605,37.8750
606,36.2500
607,34.1250
608,32.3750
609,31.8750
610,31.2500
611,31.3750
612,32.6250
613,33.8750
614,34.6250
615,33.7500
616,31.8750
617,30.6250
618,29.5000
619,29.6250
620,31.0000
621,34.5000
622,38.3750
623,40.2500
624,39.5000
625,37.5000
626,35.1250
627,33.0000
628,31.6250
629,31.8750
630,33.3750
631,33.5000
632,32.7500
633,31.0000
634,30.7500
635,30.6250
636,30.6250
637,30.1250
638,30.2500
639,29.5000
640,29.2500
641,28.8750
642,30.2500
643,32.1250
644,33.7500
645,34.3750
646,35.5000
647,35.0000
648,34.0000
649,33.0000
650,32.5000
651,33.3750
652,34.3750
653,35.3750
654,36.3750
655,36.2500
656,35.8750
657,35.1250
658,34.6250
659,33.7500
660,34.3750
661,33.3750
662,33.2500
663,32.2500
664,32.3750
665,31.8750
666,33.2500
667,34.6250
668,35.1250
669,34.3750
670,34.0000
671,33.3750
672,33.1250
673,32.8750
674,33.8750
675,33.8750
676,34.7500
677,35.2500
678,36.0000
679,36.6250
680,38.7500
681,40.3750
682,41.0000
683,38.8750
684,37.2500
685,34.8750
686,32.1250
687,30.5000
688,29.2500
689,28.3750
690,27.6250
691,26.1250
692,25.5000
693,24.7500
694,24.2500
695,24.0000
696,22.1250
697,19.8750
698,17.1250
699,15.0000
700,13.0000
701,12.0000
702,11.1250
703,11.0000
704,11.0000
705,11.0000
706,12.0000
707,13.0000
708,14.0000
709,15.0000
710,15.0000
711,15.0000
712,14.0000
713,13.0000
714,12.8750
715,13.0000
716,13.0000
717,14.0000
718,14.8750
719,15.7500
720,16.0000
721,17.0000
722,17.0000
723,17.0000
724,16.0000
725,15.0000
726,14.6250
727,14.0000
728,14.0000
729,15.0000
730,15.7500
731,16.0000
732,17.0000
733,16.7500
734,16.0000
735,14.7500
736,13.6250
737,13.0000
738,13.0000
739,13.0000
740,14.0000
741,15.0000
742,15.0000
743,15.1250
744,15.3750
745,16.0000
746,16.0000
747,16.0000
748,16.3750
749,16.1250
750,16.0000
751,16.0000
752,15.0000
753,15.0000
754,15.0000
755,15.0000
756,15.0000
757,15.0000
758,15.0000
759,15.0000
760,14.0000
761,13.0000
762,12.0000
763,12.0000
764,13.0000
765,16.0000
766,18.8750
767,20.5000
768,20.8750
769,19.0000
770,17.0000
771,14.7500
772,12.8750
773,11.3750
774,11.0000
775,11.0000
776,11.0000
777,11.0000
778,12.0000
779,13.0000
780,14.0000
781,14.0000
782,14.0000
783,14.0000
784,13.0000
785,12.8750
786,12.0000
787,12.8750
788,13.0000
789,14.0000
790,15.1250
791,16.0000
792,17.0000
793,17.2500
794,17.5000
795,17.3750
796,16.7500
797,16.3750
798,16.5000
799,18.1250
800,20.0000
801,24.0000
802,27.3750
803,30.3750
804,30.5000
805,29.5000
806,26.3750
807,23.8750
808,21.5000
809,20.3750
810,21.3750
811,22.5000
812,23.1250
813,23.1250
814,23.1250
815,23.2500
816,23.5000
817,24.1250
818,25.3750
819,26.2500
820,26.6250
821,26.6250
822,25.8750
823,25.1250
824,25.2500
825,25.8750
826,26.6250
827,27.1250
828,27.7500
829,28.7500
830,28.7500
831,28.0000
832,26.7500
833,25.1250
834,24.1250
835,23.2500
836,24.2500
837,27.2500
838,30.3750
839,32.8750
840,33.8750
841,32.7500
842,30.3750
843,27.3750
844,24.3750
845,23.5000
846,23.0000
847,23.3750
848,23.3750
849,23.6250
850,24.0000
851,25.5000
852,26.1250
853,26.7500
854,26.3750
855,25.7500
856,25.2500
857,24.6250
858,24.0000
859,24.2500
860,25.0000
861,25.0000
862,25.1250
863,25.5000
864,26.2500
865,27.3750
866,28.2500
867,28.0000
868,27.5000
869,26.0000
870,24.6250
871,23.1250
872,23.8750
873,25.6250
874,27.7500
875,28.3750
876,28.7500
877,29.1250
878,28.5000
879,27.1250
880,25.8750
881,25.8750
882,25.7500
883,25.7500
884,25.7500
885,26.5000
886,26.7500
887,26.7500
888,27.8750
889,28.8750
890,29.1250
891,29.5000
892,30.2500
893,29.5000
894,28.6250
895,27.1250
896,26.6250
897,26.1250
898,25.8750
899,26.8750
900,28.2500
901,29.0000
902,29.2500
903,28.8750
904,27.7500
905,26.3750
906,25.1250
907,24.5000
908,24.7500
909,26.7500
910,28.8750
911,31.2500
912,31.8750
913,31.6250
914,29.8750
915,28.2500
916,26.3750
917,25.0000
918,24.0000
919,24.6250
920,24.6250
921,24.1250
922,24.1250
923,25.2500
924,26.1250
925,27.2500
926,27.7500
927,27.8750
928,27.2500
929,25.8750
930,25.2500
931,24.7500
932,25.2500
933,26.2500
934,28.3750
935,30.2500
936,32.0000
937,32.8750
938,32.8750
939,32.7500
940,31.5000
941,30.1250
942,29.0000
943,28.8750
944,30.1250
945,31.3750
946,32.3750
947,32.8750
948,32.7500
949,31.1250
950,29.6250
951,27.1250
952,25.7500
953,25.1250
954,26.2500
955,27.1250
956,28.3750
957,29.3750
958,30.0000
959,30.5000
960,29.7500
961,28.8750
962,29.2500
963,29.8750
964,29.8750
965,29.3750
966,30.0000
967,29.8750
968,29.0000
969,27.7500
970,27.1250
971,27.2500
972,27.7500
973,28.1250
974,28.6250
975,28.3750
976,27.5000
977,25.8750
978,25.1250
979,25.6250
980,27.7500
981,29.7500
982,33.0000
983,35.2500
984,36.2500
985,34.3750
986,31.7500
987,29.3750
988,27.8750
989,26.0000
990,24.8750
991,25.3750
992,25.8750
993,27.6250
994,28.3750
995,29.7500
996,30.8750
997,31.3750
998,29.8750
999,28.2500
1000,26.2500
1001,25.7500
1002,24.0000
1003,24.5000
1004,26.1250
1005,28.7500
1006,31.2500
1007,33.3750
1008,34.6250
1009,35.2500
1010,34.8750
1011,34.7500
1012,34.3750
1013,33.3750
1014,32.3750
1015,31.3750
1016,30.2500
1017,29.2500
1018,28.8750
1019,29.6250
1020,29.7500
1021,29.6250
1022,29.3750
1023,28.7500
1024,28.2500
1025,27.5000
1026,27.0000
1027,27.3750
1028,28.1250
1029,29.5000
1030,30.3750
1031,30.5000
1032,30.2500
1033,29.5000
1034,29.2500
1035,28.5000
1036,28.8750
1037,29.6250
1038,30.6250
1039,31.3750
1040,30.8750
1041,29.3750
1042,28.5000
1043,27.5000
1044,27.5000
1045,27.7500
1046,28.2500
1047,28.7500
1048,27.8750
1049,26.7500
1050,27.0000
1051,27.5000
1052,28.3750
1053,30.1250
1054,33.1250
1055,36.0000
1056,37.3750
1057,37.3750
1058,35.5000
1059,33.6250
1060,30.5000
1061,28.1250
1062,27.1250
1063,27.6250
1064,27.5000
1065,27.2500
1066,27.1250
1067,26.6250
1068,26.3750
1069,26.3750
1070,26.2500
1071,26.1250
1072,26.1250
1073,26.0000
1074,26.1250
1075,26.1250
1076,27.5000
1077,28.3750
1078,29.3750
1079,30.2500
1080,31.5000
1081,33.5000
1082,35.3750
1083,35.6250
1084,34.5000
1085,32.1250
1086,30.6250
1087,29.3750
1088,27.7500
1089,27.5000
1090,29.2500
1091,31.5000
1092,33.0000
1093,32.6250
1094,32.5000
1095,31.7500
1096,30.3750
1097,29.2500
1098,29.0000
1099,29.6250
1100,30.8750
1101,31.1250
1102,30.6250
1103,30.5000
1104,30.5000
1105,29.8750
1106,29.8750
1107,29.5000
1108,29.7500
1109,29.0000
1110,28.1250
1111,28.1250
1112,27.2500
1113,27.0000
1114,26.8750
